,,,,,,
length,count,expect,max.err,error counts,,
1,3005925,3878775.8,0,3005925,,
2,1180958,969693.9,0,1180958,,
3,283775,242423.5,0,283775,,
4,69849,60605.9,0,69849,,
5,23732,15151.5,0,23732,,
6,4279,3787.9,0,4279,,
7,77,947.0,0,77,,
8,27,236.7,0,27,,
9,173,59.2,0,40 133,,
10,1280,14.8,1,337 943,,
11,659,3.7,1,580 79,,
12,30,0.9,1,11 19,,
13,51,0.2,1,34 17,,
14,71,0.1,1,35 36,,
15,21,0.0,1,18 3,,
16,14,0.0,1,4 10,,
17,50,0.0,1,45 5,,
18,35,0.0,1,23 12,,
19,70,0.0,1,9 60 1,,
20,16,0.0,2,9 5 2,,
21,12,0.0,2,5 6 1,,
22,29,0.0,2,16 6 7,,
23,17,0.0,2,9 5 3,,
24,35,0.0,2,21 11 3,,
25,15,0.0,2,10 2 3,,
26,8,0.0,2,2 4 2,,
27,4,0.0,2,3 0 1,,
28,18,0.0,2,12 4 2,,
29,19,0.0,2,13 3 1 2,,
30,22,0.0,3,13 7 2,,
31,13,0.0,3,4 1 8,,
32,25,0.0,3,15 6 2 2,,
33,36,0.0,3,24 8 3 1,,
34,17,0.0,3,8 4 2 3,,
35,10,0.0,3,4 5 1,,
36,52,0.0,3,20 20 3 9,,
37,11,0.0,3,3 7 0 1,,
38,70,0.0,3,11 10 2 47,,
39,17,0.0,3,7 6 2 2,,
40,18,0.0,3,12 4 2,,
41,62,0.0,3,49 11 2,,
42,87,0.0,3,57 18 8 4,,
43,13,0.0,3,7 2 1 3,,
44,19,0.0,3,13 2 4,,
45,6,0.0,3,2 3 1,,
46,3,0.0,3,1 1 1,,
47,5,0.0,3,1 2 0 2,,
48,8,0.0,3,5 2 1,,
49,12,0.0,3,6 3 3,,
50,4,0.0,3,1 0 2 1,,
51,6,0.0,3,5 0 0 1,,
52,13,0.0,3,9 1 1 2,,
53,7,0.0,3,4 2 0 1,,
54,7,0.0,3,4 0 3,,
55,10,0.0,3,6 1 3,,
56,6,0.0,3,3 1 0 2,,
57,2,0.0,3,1 0 1,,
58,5,0.0,3,0 3 2,,
59,11,0.0,3,7 1 3,,
60,2,0.0,3,1 0 0 1,,
61,16,0.0,3,1 11 3 1,,
62,39,0.0,3,13 4 20 2,,
63,1,0.0,3,0 1,,
64,1,0.0,3,0 1,,
68,5,0.0,3,1 0 0 4,,
69,8,0.0,3,6 2,,
70,6,0.0,3,2 1 2 1,,
71,4,0.0,3,4,,
72,11,0.0,3,4 4 2 1,,
73,4,0.0,3,4,,
74,2,0.0,3,1 0 1,,
77,1,0.0,3,0 1,,
78,1,0.0,3,1,,
80,1,0.0,3,0 0 0 1,,
81,2,0.0,3,0 0 2,,
82,12,0.0,3,8 3 1,,
83,3,0.0,3,1 0 1 1,,
86,4,0.0,3,1 1 2,,
87,1,0.0,3,1,,
88,2,0.0,3,0 1 1,,
89,1,0.0,3,0 1,,
90,1,0.0,3,0 0 0 1,,
91,4,0.0,3,4,,
92,2,0.0,3,2,,
93,8,0.0,3,6 1 1,,
94,4,0.0,3,1 0 2 1,,
95,1,0.0,3,1,,
96,3,0.0,3,0 2 0 1,,
97,1,0.0,3,0 1,,
98,4,0.0,3,1 1 1 1,,
99,1,0.0,3,0 1,,
100,2,0.0,3,0 0 1 1,,
101,4,0.0,3,2 0 1 1,,
104,3,0.0,3,1 1 0 1,,
105,1,0.0,3,1,,
106,3,0.0,3,2 0 1,,
107,3,0.0,3,0 3,,
108,1,0.0,3,0 0 1,,
112,1,0.0,3,0 1,,
113,1,0.0,3,0 0 1,,
118,2,0.0,3,2,,
120,3,0.0,3,0 1 0 2,,
121,1,0.0,3,1,,
122,2,0.0,3,0 1 1,,
127,1,0.0,3,0 1,,
128,1,0.0,3,0 0 1,,
129,1,0.0,3,0 1,,
130,1,0.0,3,0 0 1,,
132,1,0.0,3,0 0 0 1,,
137,2,0.0,3,1 0 1,,
138,1,0.0,3,0 0 1,,
149,1,0.0,3,0 0 0 1,,
155,1,0.0,3,0 0 1,,
